ID: flvm-5
Files already downloaded and verified
[trace] GlobalModelSend recv COORD 1605987268.034863
[trace] LossFuncSend recv COORD 1605987268.0451472
[trace] ModelConfigSend recv COORD 1605987268.0469143
[trace] LocalTraining duration flvm-5 34.777506589889526
[trace] SendShare_99877466479 start flvm-2 1605987302.8323545
[trace] SendShare_99877466479 end flvm-2 1605987302.843256
[trace] SendShare_26906938644 start flvm-3 1605987302.8432734
[trace] SendShare_26906938644 end flvm-3 1605987310.8381205
[trace] SendShare_7957331208 start flvm-4 1605987310.8381531
[trace] GetShare_45005005947 recv flvm-6 1605987310.8495603
[trace] GetShare_36580868826 recv flvm-3 1605987310.8517447
[trace] GetShare_96082910971 recv flvm-7 1605987310.8537621
[trace] GetShare_36118517685 recv flvm-4 1605987310.8556554
[trace] GetShare_88910916805 recv flvm-2 1605987310.8576663
[trace] SendShare_7957331208 end flvm-4 1605987310.857883
[trace] SendShare_69636501252 start flvm-5 1605987310.8578956
[trace] GetShare_69636501252 recv flvm-5 1605987310.85828
[trace] SendShare_69636501252 end flvm-5 1605987310.8583431
[trace] SendShare_1086679438 start flvm-6 1605987310.8583522
[trace] SendShare_1086679438 end flvm-6 1605987310.861794
[trace] SendShare_66977171188 start flvm-7 1605987310.8618085
[trace] SendShare_66977171188 end flvm-7 1605987310.8654678
[trace] EncryptParameter0 duration flvm-5 8.034250974655151
[trace] GetShare_86784552669 recv flvm-3 1605987310.8718495
[trace] GetShare_81208355548 recv flvm-4 1605987310.8722441
[trace] MultiplyParameter0 duration flvm-5 0.0078887939453125
[trace] SendShare_2997545798 start flvm-2 1605987310.8738058
[trace] GetShare_51544341474 recv flvm-6 1605987310.8744633
[trace] SendShare_2997545798 end flvm-2 1605987310.875805
[trace] SendShare_96731388392 start flvm-3 1605987310.875818
[trace] SendShare_96731388392 end flvm-3 1605987310.8767104
[trace] SendShare_5299173920 start flvm-4 1605987310.8767223
[trace] GetShare_31341409580 recv flvm-2 1605987310.8776379
[trace] SendShare_5299173920 end flvm-4 1605987310.8778296
[trace] SendShare_60833760726 start flvm-5 1605987310.8778398
[trace] GetShare_60833760726 recv flvm-5 1605987310.8781333
