[PROF] NR_DATA number alice 24754
[PROF] FetchBatch duration alice 0.019804000854492188
[PROF] CompBatch duration alice 0.04260063171386719
[PROF] FetchBatch duration alice 0.01746678352355957
[PROF] CompBatch duration alice 0.03186392784118652
[PROF] FetchBatch duration alice 0.0178530216217041
[PROF] CompBatch duration alice 0.041733503341674805
[PROF] FetchBatch duration alice 0.016600847244262695
[PROF] CompBatch duration alice 0.030809402465820312
[PROF] FetchBatch duration alice 0.01602935791015625
[PROF] CompBatch duration alice 0.026252031326293945
[PROF] FetchBatch duration alice 0.01728963851928711
[PROF] CompBatch duration alice 0.022348642349243164
[PROF] FetchBatch duration alice 0.01729130744934082
[PROF] CompBatch duration alice 0.0217130184173584
[PROF] FetchBatch duration alice 0.018609285354614258
[PROF] CompBatch duration alice 0.023568391799926758
[PROF] FetchBatch duration alice 0.017140626907348633
[PROF] CompBatch duration alice 0.021877288818359375
[PROF] FetchBatch duration alice 0.01664566993713379
[PROF] CompBatch duration alice 0.021955251693725586
[PROF] FetchBatch duration alice 0.01684713363647461
[PROF] CompBatch duration alice 0.021399497985839844
[PROF] FetchBatch duration alice 0.016845703125
[PROF] CompBatch duration alice 0.02038431167602539
[PROF] FetchBatch duration alice 0.017085790634155273
[PROF] CompBatch duration alice 0.020835161209106445
[PROF] FetchBatch duration alice 0.017241239547729492
[PROF] CompBatch duration alice 0.02285933494567871
[PROF] FetchBatch duration alice 0.016323566436767578
[PROF] CompBatch duration alice 0.02884054183959961
[PROF] FetchBatch duration alice 0.018094539642333984
[PROF] CompBatch duration alice 0.021240711212158203
[PROF] FetchBatch duration alice 0.01689910888671875
[PROF] CompBatch duration alice 0.022352218627929688
[PROF] FetchBatch duration alice 0.017033100128173828
[PROF] CompBatch duration alice 0.02079916000366211
[PROF] FetchBatch duration alice 0.020047903060913086
[PROF] CompBatch duration alice 0.02733612060546875
[PROF] FetchBatch duration alice 0.017609834671020508
[PROF] CompBatch duration alice 0.020921945571899414
[PROF] FetchBatch duration alice 0.018146753311157227
[PROF] CompBatch duration alice 0.021660566329956055
[PROF] FetchBatch duration alice 0.01827239990234375
[PROF] CompBatch duration alice 0.020841121673583984
[PROF] FetchBatch duration alice 0.017346858978271484
[PROF] CompBatch duration alice 0.020612001419067383
[PROF] FetchBatch duration alice 0.016678810119628906
[PROF] CompBatch duration alice 0.020930051803588867
[PROF] FetchBatch duration alice 0.017444610595703125
[PROF] CompBatch duration alice 0.02640986442565918
[PROF] FetchBatch duration alice 0.01692795753479004
[PROF] CompBatch duration alice 0.022411346435546875
[PROF] FetchBatch duration alice 0.017212629318237305
[PROF] CompBatch duration alice 0.031339406967163086
[PROF] FetchBatch duration alice 0.018299579620361328
[PROF] CompBatch duration alice 0.02269434928894043
[PROF] FetchBatch duration alice 0.017632722854614258
[PROF] CompBatch duration alice 0.021463871002197266
[PROF] FetchBatch duration alice 0.017456769943237305
[PROF] CompBatch duration alice 0.0303952693939209
[PROF] FetchBatch duration alice 0.01673412322998047
