Downloading http://yann.lecun.com/exdb/mnist/train-images-idx3-ubyte.gz to ./data/MNIST/raw/train-images-idx3-ubyte.gz
Extracting ./data/MNIST/raw/train-images-idx3-ubyte.gz to ./data/MNIST/raw
Downloading http://yann.lecun.com/exdb/mnist/train-labels-idx1-ubyte.gz to ./data/MNIST/raw/train-labels-idx1-ubyte.gz
Extracting ./data/MNIST/raw/train-labels-idx1-ubyte.gz to ./data/MNIST/raw
Downloading http://yann.lecun.com/exdb/mnist/t10k-images-idx3-ubyte.gz to ./data/MNIST/raw/t10k-images-idx3-ubyte.gz
Extracting ./data/MNIST/raw/t10k-images-idx3-ubyte.gz to ./data/MNIST/raw
Downloading http://yann.lecun.com/exdb/mnist/t10k-labels-idx1-ubyte.gz to ./data/MNIST/raw/t10k-labels-idx1-ubyte.gz
Extracting ./data/MNIST/raw/t10k-labels-idx1-ubyte.gz to ./data/MNIST/raw
Processing...
Done!
[PROF] NR_DATA number alice 24754
[PROF] FetchBatch duration alice 0.01174020767211914
[PROF] CompBatch duration alice 0.02785038948059082
[PROF] FetchBatch duration alice 0.010128498077392578
[PROF] CompBatch duration alice 0.02514195442199707
[PROF] FetchBatch duration alice 0.009845256805419922
[PROF] CompBatch duration alice 0.014756202697753906
[PROF] FetchBatch duration alice 0.009783506393432617
[PROF] CompBatch duration alice 0.01224970817565918
[PROF] FetchBatch duration alice 0.008936166763305664
[PROF] CompBatch duration alice 0.012330293655395508
[PROF] FetchBatch duration alice 0.008976459503173828
[PROF] CompBatch duration alice 0.013934612274169922
[PROF] FetchBatch duration alice 0.008866548538208008
[PROF] CompBatch duration alice 0.021542072296142578
[PROF] FetchBatch duration alice 0.0077626705169677734
[PROF] CompBatch duration alice 0.014316558837890625
[PROF] FetchBatch duration alice 0.008940935134887695
[PROF] CompBatch duration alice 0.019608497619628906
[PROF] FetchBatch duration alice 0.008713722229003906
[PROF] CompBatch duration alice 0.019576311111450195
[PROF] FetchBatch duration alice 0.007581233978271484
[PROF] CompBatch duration alice 0.012775421142578125
[PROF] FetchBatch duration alice 0.008714914321899414
[PROF] CompBatch duration alice 0.02269744873046875
[PROF] FetchBatch duration alice 0.008536338806152344
[PROF] CompBatch duration alice 0.014353513717651367
[PROF] FetchBatch duration alice 0.008141517639160156
[PROF] CompBatch duration alice 0.012877464294433594
[PROF] FetchBatch duration alice 0.00903773307800293
[PROF] CompBatch duration alice 0.019243478775024414
[PROF] FetchBatch duration alice 0.007438182830810547
[PROF] CompBatch duration alice 0.013235807418823242
[PROF] FetchBatch duration alice 0.008931398391723633
[PROF] CompBatch duration alice 0.022157907485961914
[PROF] FetchBatch duration alice 0.012820243835449219
[PROF] CompBatch duration alice 0.014812469482421875
[PROF] FetchBatch duration alice 0.009118080139160156
[PROF] CompBatch duration alice 0.01725459098815918
[PROF] FetchBatch duration alice 0.008978128433227539
[PROF] CompBatch duration alice 0.013950824737548828
[PROF] FetchBatch duration alice 0.00914621353149414
[PROF] CompBatch duration alice 0.013988256454467773
[PROF] FetchBatch duration alice 0.009122371673583984
[PROF] CompBatch duration alice 0.013276338577270508
[PROF] FetchBatch duration alice 0.00893092155456543
[PROF] CompBatch duration alice 0.013100147247314453
